,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200,205,210,215,220,225,230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,365
350,23454.67733142593,23903.312102321965,24402.731554877086,24950.716889494295,25544.84782826917,26182.425511879836,26860.531037162636,27576.121854155706,28326.124072397008,29107.50858748583,29917.350171786788,30752.871503403796,31611.474244658955,32490.758946016653,33388.53534285138,34302.824564388866,35231.85478931626,36174.05187582624,37128.02642306549,38092.558580731406,39066.58173054192,40049.16594278124,41039.50188786687,42036.88567622548,43040.70492194806,44050.426182283714,45065.58381637983,46085.77022967158,47110.62742001507,48139.83971246289,49173.12755614347,50210.242254343546,51250.961503796134,52295.08562842897,53342.43440429658,54392.84438464728,55446.16664610164,56502.26488818299,57561.01382863145,58622.29784594521,59686.00982840836,60752.05019556797,61820.32606379889,62890.75053237621,63963.24207047087,65037.72398881266,66114.12398252843,67192.37373395127,68272.40856608907,69354.16713900426,70437.59118265014,71522.6252607755,72609.21656139061,73697.3147100212,74786.87160257847,75877.84125517649,76970.17966864508,78063.84470583184,79158.79598007735,80254.99475348734,81352.40384382941,82450.98753904909,83550.71151854361,84651.54278045155,85753.44957431717,86856.40133857394,87960.36864236482,89065.32313127766
360,24071.656191850543,24531.93392152071,25044.309854672116,25606.50450924901,26216.03157874047,26870.11899841372,27565.769130295474,28299.85776411799,29069.228899581234,29870.772905864396,30701.487178076597,31558.521315837683,32439.208992211672,33341.08833915279,34261.91246278555,35199.65165280102,36152.4888654065,37118.81005149818,38097.190828011495,39086.38084541921,40085.287005314734,41092.956454955085,42108.56005599273,43131.37681222077,44160.7795585248,45196.222066042006,46237.22760709084,47283.37894453027,48334.30965871529,49389.69669539721,50449.25400425691,51512.72713544865,52579.88866665865,53650.53434275336,54724.47982191979,55801.55793479167,56881.61637543137,57964.51575461414,59050.127956341035,60138.334747759225,61229.02660070141,62322.10168993185,63417.46503901872,64515.02778965526,65614.70657435292,66716.42297584577,67820.10305937783,68925.67696639246,70033.0785600842,71142.24511487507,72253.11704320286,73365.63765410439,74479.75293897769,75595.41138065844,76712.56378256502,77831.16311517794,78951.1643775507,80072.52447189995,81195.20208962081,82319.15760732042,83444.3529916687,84570.75171203863,85698.31866005529,86827.02007529358,87956.8234764698,89087.69759755836,90219.61232834103,91352.53865895732
370,24689.802832820278,25161.746948375057,25687.105331632447,26263.537742887846,26888.491766415584,27559.122037405792,28272.35207478601,29024.975889340767,29813.755245373948,30635.499856046474,31487.129607889252,32365.720890904944,33268.53925959406,34193.06030134468,35136.98037144616,36098.21880395225,37074.913222761876,38065.409568487514,39068.24838005478,40082.148720249344,41105.99092938408,42138.79915766548,43179.724390802694,44228.028465253454,45283.069382051166,46344.28807717832,47411.19669222638,48483.368308270554,49560.42805321148,50642.04546238721,51727.927958376546,52817.815313650695,53911.474965081514,55008.69805919754,56109.296119270475,57213.09823826638,58319.9487144195,59429.705058083986,60542.2363092778,61657.42161483388,62775.149022317186,63895.314454922715,65017.82083754934,66142.57734927512,67269.498781664,68398.50498583606,69529.52039413601,70662.47360464273,71797.2970187486,72933.92652368393,74072.30121321268,75212.36314085401,76354.05710090429,77497.33043330366,78642.1328490254,79788.41627319163,80936.13470355685,82085.24408236379,83235.70217987962,84387.46848817109,85540.50412389344,86694.77173903996,87850.23543875151,89006.8607054107,90164.61432834796,91323.46433858252,92483.37994808993,93644.3314931591
380,25309.03704975569,25792.669480201894,26331.03463328244,26921.731442231678,27562.141307407317,28249.34547589629,28980.188522576493,29751.38256845097,30559.607024917666,31401.590827629465,32274.176231254987,33174.36629292038,34099.358326892805,35046.56525727951,36013.626573948546,36998.410545835075,37999.00936091652,39013.72885232474,40041.07439053394,41079.73436710075,42128.56248439297,43186.559825617136,44252.857437035025,45326.69993036376,46407.43042108041,47494.476963585046,48587.34052715786,49685.584473922405,50788.82544616145,51896.72553925365,53008.985622385364,54125.33966697918,55245.549948348504,56369.40299628955,57496.706182866976,58627.28484897006,59760.979884281856,60897.64568752221,62037.14844486594,63179.36467418539,64324.17999122139,65471.48806102095,66621.18970411444,67773.19213205636,68927.40829126649,70083.75629769458,71242.15894780673,72402.54329385718,73564.84027344517,74728.98438503816,75894.91340253543,77062.56812308893,78231.89214335072,79402.83166009856,80575.33529184126,81749.35391854488,82924.84053706552,84101.75013025002,85280.03954797215,86459.66739863392,87640.59394987502,88822.78103741714,90006.19198112097,91190.79150746403,92376.54567775132,93563.42182146871,94751.38847426082,95940.41532008577
390,25929.28581546114,26424.627116840493,26976.021846430212,27581.008046189265,28236.900863197076,28940.708074443686,29689.19521650086,30478.99241690541,31306.696624033262,32168.955882012706,33062.534697797404,33984.36267967603,34931.56878710849,35901.503169041156,36891.74834186371,37900.12140609534,38924.66901599053,39963.656805423525,41015.554890991545,42079.020914091474,43152.88186669125,44236.115698867856,45327.833457378634,46427.26247488757,47533.7309323732,48646.65395868082,49765.5213113684,50889.88659835558,52019.35794482752,53153.5899781299,54292.276989050544,55435.14712571305,56581.957482094156,57732.48995369426,58886.54774579303,60043.95243340248,61204.54148544748,62368.16617823492,63534.68983459963,64703.98633510739,65875.93885636241,67050.43879888186,68227.38487328238,69406.68231880356,70588.24223260915,71771.98099197938,72957.81975455517,74145.68402431843,75335.50327307652,76527.21060894294,77720.74248472636,78916.03844031633,80113.04087412292,81311.69483943179,82511.947862199,83713.74977736251,84917.05258120224,86121.81029766503,87327.97885688319,88535.51598438363,89744.38109970286,90954.53522331236,92165.94089091003,93378.56207426921,94592.36410794362,95807.31362122363,97023.37847481489,98240.52770178257
400,26550.48248802918,27057.551955460152,27621.997677773692,28241.29674613157,28912.697989815,29633.135639218646,30399.29610447321,31207.72742252416,32054.943975414804,32937.51280863191,33852.12057244081,34795.62331710535,35765.08153930299,36757.782507308315,37771.251662067516,38803.25483816506,39851.793063766534,40915.091686784035,41991.58548921083,43079.90128767371,44178.839295232545,45287.35426628793,46404.5371912685,47529.59807237532,48661.85010973918,49800.695464984085,50945.61264657718,52096.14547478414,53251.893527795626,54412.50393823767,55577.664394703774,56747.0972008201,57920.55425035936,59097.81278774919,60278.67183658049,61462.94919276395,62650.478892748244,63841.10908006159,65034.70020504648,66231.12350290116,67430.25970401388,68631.99793817673,69836.234800694,71042.87355381035,72251.82344140232,73462.99909863493,74676.32004140814,75891.71022299342,77109.09764740175,78328.41403077835,79549.59450358083,80772.57734749521,81997.303762037,83223.71765660764,84451.76546445282,85681.39597553588,86912.56018580479,88145.21116072073,89379.30391124176,90614.79528072331,91851.64384142443,93089.80979949996,94329.25490751403,95569.94238364928,96811.83683689548,98054.90419759863,99299.11165283242,100544.42758612339
410,27172.566122987915,27691.381891297096,28268.89874225466,28902.53276095018,29589.46639874981,30326.560267972516,31110.421569783462,31937.51615944275,32804.275755626004,33707.186304440766,34642.85649686784,35608.06872225119,36599.81491265317,37615.31935610375,38652.05032182852,39707.722286359305,40780.290564491974,41867.940136221,42969.07037260969,44082.27719495347,45206.33397259606,46340.17220507476,47482.86277269896,48633.59829852154,49791.67695791127,50956.48790577137,52127.49836602948,53304.24233954209,54486.310829099544,55673.34344722847,56865.0212576734,58061.060699358124,59261.208447845325,60465.23708045655,61672.9414248294,62884.13548509625,64098.6498539769,65316.329532246986,66537.03208893351,67760.62610607824,68986.98986099713,70216.01020674084,71447.58161804322,72681.60537558148,73917.98886599106,75156.64497892853,76397.49158566594,77640.4510863373,78885.45001514495,80132.41869463073,81381.29093160678,82632.00374856999,83884.49714543522,85138.7138872659,86394.59931437214,87652.10117172377,88911.169455103,90171.75627181947,91433.81571414093,92697.30374386991,93962.17808672712,95228.3981353968,96495.92486025064,97764.72072690676,99034.7496198904,100305.97677176823,101578.36869720295,102851.89313145271
420,27795.480873739914,28326.060008108052,28916.666942663232,29564.656705003414,30267.14531247609,31020.919692437776,31822.50775971667,32668.29310234852,33554.6246844026,34477.90725777649,35434.6714574878,36421.625914917415,37435.69390140219,38474.036630694274,39534.06510933514,40613.44236873597,41710.07792780057,42822.11632109727,43947.92143655708,45086.058233377975,46235.27317584917,47394.474452609786,48562.71278290664,49739.163364517044,50923.10930642118,52113.926719338415,53311.07150901457,54514.067826736726,55722.49807289439,56935.99431576695,58154.23097267289,59376.91859856758,60603.79863361298,61834.63897269582,63069.23023384331,64307.38261725204,65548.92326110305,66793.69401382045,68041.54955460665,69292.35580481935,70545.98858205954,71802.33245679253,73061.27977806049,74322.72984050393,75586.58816963946,76852.76590627321,78121.17927419228,79391.74911797658,80664.40050000272,81939.06234755379,83215.66714247083,84494.15064703321,85774.45166079763,87056.51180397703,88340.27532365541,89625.6889197194,90912.70158787703,92201.26447754176,93491.33076269353,94782.85552411746,96075.79564164985,97370.1096952643,98665.75787399581,99962.7018918362,101260.90490986002,102560.33146393325,103860.94739744389,105162.7197985666
430,28419.17546711772,28961.534044948654,29565.248926872424,30227.614035083778,30945.67890047561,31716.156702769003,32535.49599782522,33399.99802604299,34305.92891100798,35249.61212105332,36227.50014405334,37236.22776182903,38272.64949421591,39333.863391827486,40417.22311252244,41520.34016024759,42641.07817994707,43777.54118741996,44928.05751912644,46091.161108959735,47265.57145807046,48450.173391122466,49643.997418029154,50846.20126756771,52056.052942852824,53272.915474871945,54496.23341924602,55725.52104903613,56960.352136553454,58200.351182845676,59445.18593824625,60694.56105536445,61948.21272254268,63205.90413757342,64467.42169579286,65732.57178179976,67001.17806884891,68273.0792437725,69548.12708774024,70826.18485414918,72107.12589444917,73390.83249084384,74677.19486169379,75966.11031123616,77257.48250006596,78551.22081684736,79847.23983505664,81145.45884131515,82445.80142415287,83748.19511392251,85052.57106613781,86358.86378179392,87667.01085928304,88976.9527733996,90288.63267764864,91601.99622667591,92916.99141613518,94233.56843772298,95551.6795474559,96871.27894555598,98192.32266654629,99514.76847836698,100838.57578948612,102163.70556312382,103490.12023783263,104817.78365377174,106146.66098410614,107476.71867103002
