,0.001,0.003111111111111111,0.005222222222222222,0.007333333333333333,0.009444444444444443,0.011555555555555555,0.013666666666666667,0.015777777777777776,0.017888888888888888,0.02
7033812.804073673,2879138.689567554,3296421.4065753557,3649030.938127609,3958448.019433579,4234309.161878909,4488360.786361618,4724355.035650473,4945787.807386298,5155261.650176632,5354655.698420201
7281579.348273393,2908790.3887468968,3330296.2477195957,3686526.476784351,3999121.7887589275,4277798.60942685,4534445.493573857,4772853.411389399,4996550.890357159,5208164.598392193,5409588.442942881
7565539.270860967,2941273.035300702,3367427.718890234,3727587.1669253223,4043628.562355055,4325387.055663556,4584871.041965347,4825907.68327726,5052063.187043812,5266001.379567791,5469638.754626358
7831848.08177622,2969507.745319561,3399746.0690620095,3763322.011000076,4082360.481163453,4366789.9565499155,4628730.144682931,4872057.078829951,5100369.223152544,5316344.794120588,5521919.369533267
8180762.589140412,3006422.6578100035,3441939.5646466147,3809963.7581426143,4132905.4956181655,4420827.104081629,4685980.633443962,4932285.018150683,5163381.645499495,5381994.14402871,5590075.034562934
8473679.85809871,3036435.8777378765,3476283.2719112467,3847941.447500258,4174061.1213902966,4464818.27207325,4732586.7667578105,4981319.473381298,5214697.455645154,5435461.886009102,5645592.743844202
9020249.636675335,3089282.1268592346,3536766.629397445,3914842.991489004,4246587.376566236,4542355.805803892,4814731.762166577,5067746.376865526,5305136.714605717,5529691.035843086,5743421.607230854
9677448.49463364,3144948.4324267493,3600457.944549639,3985250.7932614214,4322917.247481838,4623976.745920971,4901228.788271448,5158760.334709014,5400385.400180194,5628938.664627757,5846472.756016193
10435614.167376872,3201502.599402415,3665113.1312410217,4056783.3310770593,4400428.644842221,4706817.587355547,4988976.968565423,5251068.806628345,5496970.796007148,5729572.790793744,5950957.568236944
11033690.807767488,3240377.0216902737,3709589.090928683,4105970.0232709562,4453739.448456124,4763807.434781532,5049360.973094617,5314614.4028616715,5563472.397783785,5798869.221162517,6022906.4922666075
11527313.696681473,3270787.491326444,3744390.5546070375,4144434.7085772017,4495451.135379401,4808405.172913813,5096601.743767572,5364309.228020767,5615469.29282409,5853039.2445655195,6079145.6013798285
12034366.66864097,3302360.15448132,3780515.5867134514,4184361.386658049,4538737.03983733,4854713.139078341,5145674.909564545,5415937.284146117,5669491.288836786,5909327.977079743,6137589.037018311
12529031.669581115,3329435.0584837794,3811491.206993287,4218636.836769605,4575884.4976297775,4894405.866348211,5187722.105909787,5460171.224802061,5715775.239009795,5957550.80387039,6187655.8773624115
13152381.901210433,3361893.0086042252,3848615.575892039,4259669.190683325,4620354.700257463,4941952.556871855,5238100.4393975735,5513180.882193333,5771250.441388928,6015354.809996288,6247670.932837157
13727370.60393806,3388291.9896309013,3878834.4376020627,4293099.016617956,4656575.319229759,4980676.808082694,5279124.390343235,5556338.596240813,5816404.00107474,6062399.030348458,6296514.080049688
14512989.415370544,3410044.5508033647,3903725.6321452074,4320612.315490556,4686400.964234729,5012560.2641157005,5312897.3492878135,5591873.522196309,5853592.723182184,6101150.408792602,6336749.044459744
15152702.366264835,3423711.9341941625,3919359.8396943165,4337901.939259329,4705135.947862145,5032573.434123443,5334096.305019237,5614176.293833602,5876930.409062906,6125464.794086058,6361992.230076879
15771390.571339605,3430034.0781844645,3926559.4248247743,4345857.438296505,4713765.350412182,5041800.245076041,5343869.240005349,5624459.518063515,5887695.155011601,6136685.177232395,6373644.652174567
15993193.532158306,3431087.0594186494,3927760.3030670807,4347185.817658092,4715207.763719433,5043344.236628891,5345505.4929871075,,5889494.9978407575,6138561.2612059945,6375592.036171947
16595186.234147245,3431663.6468057437,3928432.1123518255,4347937.04685801,4716020.523401262,5044209.146544062,5346421.05552763,5627145.492965698,5890507.180652505,6139616.264886279,6376689.353068291
17121734.367575362,3430267.2782215946,3926846.130405874,4346182.883052148,4714119.587159178,5042178.99876751,5344274.450707016,5624888.4057463305,5888144.864974644,6137154.490117597,6374134.102965934
17446823.113820538,3428576.137762362,3924933.977609029,4344074.996105619,4711832.148612304,5039738.969381201,5341690.999031449,,5885303.084899255,6134194.669194361,6371061.640390154
18006856.21990185,3425663.1124308766,3921616.1622144007,4340417.927726739,4707876.411117581,5035522.577910128,5337233.717620563,5617488.077708407,5880405.169118254,6129094.680164801,6365768.849629912
18253124.728063963,3424541.9603131358,3920326.613354767,4338989.476110151,4706332.793072926,5033878.641862781,5335494.969529287,5615659.405800527,5878492.681392209,6127103.522671734,6363704.042301674
18800172.48054842,3422122.7095137085,3917557.206144194,4335924.077767852,4703002.433008043,5030312.980700546,5331715.023301014,,5874329.631168523,6122766.013855033,6359201.297596139
18895901.59686851,3421701.835167797,3917066.3562489254,4335381.710305235,4702414.63066157,5029686.7522557555,5331053.2618281385,5610984.156730058,5873600.48579154,6122006.844754028,6358416.264665023
19149222.34035351,3421329.8871576386,3916630.5151263177,4334894.541294546,4701881.945392481,5029118.699706108,5330452.409675217,5610352.183970993,5872939.649237143,6121317.692788512,6357700.4670350365
19671019.22995401,3434199.6498374864,3931375.8633328974,4351215.425523018,4719596.2040858455,5048066.933775545,5350534.587503016,5631488.672595383,5895063.77617073,6144376.924792402,6381647.037080248
19674976.677511703,3434298.439080492,3931489.522136096,4351342.693668124,4719733.96864123,5048214.068930646,5350690.617620086,5631652.906183337,5895235.673738397,6144555.974601718,6381832.829964252
19982951.651098046,3441894.911186652,3940198.038058477,4360984.465090401,4730191.558333337,5059399.874479635,5362546.246178601,5644132.435758892,5908299.584051125,6158172.533598922,6395974.879645517
