,0.001,0.003111111111111111,0.005222222222222222,0.007333333333333333,0.009444444444444443,0.011555555555555555,0.013666666666666667,0.015777777777777776,0.017888888888888888,0.02
7033812.804073673,2423215.3558770968,,3026459.2704968206,3277683.7775816224,3503329.7652728353,3712059.790654942,3907765.181055938,4092336.522553617,4267673.637245362,4435037.583742375
7281579.348273393,2449190.4220283087,2777182.545191684,3058856.7559137624,3312743.4424201627,3540780.779171629,3751721.939590983,3949498.5762629407,4136027.2969014477,4313223.016267592,4482361.260876431
7565539.270860967,2477675.554473912,2809435.843078524,3094354.3033374795,3351148.796443312,3581810.1393597866,3795171.32228254,3995214.3835682934,4183877.381963466,4363098.327458197,4534168.427119996
7831848.08177622,2502437.025352499,2837480.536613051,3125185.8949680785,3384506.4849874717,3617447.9983228706,3832914.51570878,4034936.1210900745,4225464.575953517,4406459.218646643,4579219.487041712
8180762.589140412,2534734.150228252,2874024.700426309,3165446.848840901,3428078.7098338,3663998.8509868565,3882207.4072876596,4086803.629038723,4279759.800893784,4463060.597196532,4638022.248256708
8473679.85809871,2561098.0230012233,2903840.5746166273,3198269.402923474,3463596.421856939,3701944.2794379373,3922400.973016536,4129099.613949165,4324039.615543109,4509219.3514881,4685972.570248678
9020249.636675335,2607445.129065445,2956320.5338821257,3256045.364107158,3526114.560242435,3768725.367396883,3993117.8151000794,4203512.473209478,4401934.675130372,4590424.645873477,4770335.167688413
9677448.49463364,2656180.497226235,3011466.6092918497,3316744.3444702425,3591809.04426482,3838912.3258132115,4067453.8565158583,4281731.297498235,4483812.362279358,4675781.355759305,4859014.229715358
10435614.167376872,2705960.5107784104,3067797.2936593574,3378753.7611727724,3658915.979059729,3910605.273781426,4143384.200568537,4361628.435995921,4567449.716602434,4762971.451499764,4949588.167299625
11033690.807767488,2740312.637403086,3106612.963763925,3421469.269633478,3705132.8240613025,3959981.0932196476,4195676.632253365,4416647.533253118,4625035.010025317,4822993.448190682,5011937.113008713
11527313.696681473,2767034.9287534626,3136871.72626785,3454778.8154915343,3741171.1826605108,3998469.482062026,4236424.371516628,4459516.774668262,4669909.560798265,4869772.427936209,5060535.389794956
12034366.66864097,2794786.1037370577,3168284.320424747,3489328.716597097,3778538.3088348988,4038386.6913827104,4278704.997900222,4504011.200569459,4716487.595849779,4918329.310091818,5110975.424142337
12529031.669581115,2818550.3711838066,3195164.8565106154,3518921.6438558954,3810553.1280522873,4072572.751459509,4314900.621340477,4542091.900466512,4756348.186393401,4959877.48325861,5154137.38031465
13152381.901210433,2846922.1972840577,3227262.631296196,3554246.4085887857,3848806.4127380694,4113463.2532630456,4358214.40693169,4587673.595586283,4804068.612052561,5009627.373327958,5205819.689362985
13727370.60393806,2870028.363772793,3253426.105113982,3583066.4384031096,3879979.339533057,4146754.479544973,4393470.638484188,4624773.672987215,4842907.692164023,5050116.559795592,5247883.088960069
14512989.415370544,2889163.0338542787,3275106.5437868796,3606902.337099201,3905776.590123667,4174311.7127191876,4422652.105205632,4655479.664062635,4875047.498631064,5083618.747643222,5282684.835769237
15152702.366264835,2901079.5056454707,3288576.1625049235,3621751.4798986847,3921841.9238679316,4191482.7503850055,4440844.6353172995,4674621.246483474,4895084.7060114555,5104505.325707946,5304381.860754965
15771390.571339605,2906681.729915109,3294913.181692906,3628719.510830135,3929378.101296773,4199525.207457122,4449360.370630822,4683582.311393879,4904467.334598351,5114285.757745583,5314542.804986733
15993193.532158306,2907592.3405522956,3295953.9216488507,3629860.3403743994,3930614.048281571,4200848.110120658,4450763.478857456,4685059.294647421,4906013.061284149,5115896.866432629,5316216.565060569
16595186.234147245,2907996.2434741934,3296421.4778417614,3630382.690082864,3931180.285406451,4201455.042996666,4451407.289554672,4685737.90572232,4906724.9830494905,5116641.313707596,5316990.714107757
17121734.367575362,2906686.11408254,3294921.6140433084,3628744.7656434802,3929418.562322733,4199576.504154959,4449419.430368044,4683647.2137994785,4904535.930291264,5114359.5606017625,5314620.233062887
17446823.113820538,2905155.2330603288,3293203.8286602264,3626853.6712864097,3927372.4341189945,4197393.681912982,4447104.927354498,4681213.0911675505,4901985.869908849,5111701.467080044,5311859.658695165
18006856.21990185,2902513.3506325907,3290229.2128506247,3623578.4323318712,3923836.424182073,4193615.021735649,4443103.672962572,4677004.776219574,4897584.585563092,5107116.962661237,5307099.948604941
18253124.728063963,2901471.589016369,3289060.9510591947,3622274.928491881,3922421.0927472026,4192102.002143371,4441502.097893448,4675321.274036836,4895823.306102132,5105281.8289185,5305194.966895214
18800172.48054842,2899150.6503360015,3286441.1111870883,3619413.769818795,3919329.308922364,4188801.106519829,4438005.721376836,4671643.669723788,4891977.86304225,5101278.281303431,5301040.193828459
18895901.59686851,2898748.236336757,3285971.584563193,3618898.943689069,3918771.1240166654,4188201.528424907,4437370.812577111,4670976.326402322,4891280.303124446,5100552.538852817,5300288.22980754
19149222.34035351,2898338.8885795074,3285507.528580692,3618380.605969037,3918208.826841745,4187601.010743644,4436738.405805598,4670312.595261535,4890587.588520299,5099832.013856006,5299541.036068678
19671019.22995401,2909471.0091780564,3298147.1738158762,3632297.998776399,3933282.745567587,4203713.546319446,4453804.679503428,4688272.961922788,4909389.656285093,5119433.41167278,5319904.999538876
19674976.677511703,2909555.0907788347,3298243.4388014707,3632402.904529769,3933396.208324183,4203835.129946304,4453933.890641058,4688409.260326134,4909532.587069257,5119582.586998907,5320060.122121552
