,N,"96.4,1.0","95.4,1.0","97.4,1.0","96.4,0.97","96.4,1.03"
0,0.0,0.0,0.0,0.0,0.0,0.0
1,7000000.0,27750941.20790154,30202933.184573844,25265738.995026592,25464998.70721861,29887233.944394138
2,14750000.0,83984075.37130475,92542360.78014082,75522212.65375839,76190962.13988131,91466091.75534382
3,22500000.0,157689211.12510666,174742225.99310845,141079438.95875663,142387088.17267713,172616011.09001568
