,N,sx,sy,sz,sx_err_stat,sy_err_stat,sz_err_stat,sx_err_sm,sy_err_sm,sz_err_sm,sx_err_tot,sy_err_tot,sz_err_tot,M,Mxder,Myder,Mzder,Meder,M_err_no_Ebeam,M_err_due_to_Ebeam,M_err_with_Ebeam,varN,varN_top_no_Ebeam,varN_bottom_no_Ebeam,varN_top_with_Ebeam,varN_bottom_with_Ebeam
78,20329176.35022491,1159.3322811152095,97.18755004521286,30.11907703446927,1.3163820525119132,0.13986360966244632,0.054086674993107174,18.363339156516936,8.022516761162203,0,18.410461338202357,8.023735851362275,0.054086674993107174,4374958.234880958,3738.629469730358,24739.618068965632,145255.38846605792,522556.9137589282,210245.5199305673,522556.9137589282,563266.2840683175,114793029.2353917,119561809.99503243,110461574.64220256,128752264.15784137,104018245.06160015
79,20589806.816253435,1159.7584008062179,97.89737436257913,30.160650780279127,1.3163820525119132,0.13986360966244632,0.054086674993107174,18.363339156516936,8.022516761162203,0,18.410461338202357,8.023735851362275,0.054086674993107174,4400189.812311085,3758.7702727615756,24799.840459676707,145891.7396831569,525483.8161324139,210824.5097058162,525483.8161324139,566198.0350635124,116935683.42923822,121784167.80143607,112530563.25814646,131163894.96283357,105951674.99067436
80,20850437.282281958,1160.1845204972265,98.60719867994538,30.202224526088983,1.3163820525119132,0.13986360966244632,0.054086674993107174,18.363339156516936,8.022516761162203,0,18.410461338202357,8.023735851362275,0.054086674993107174,4425487.12785112,3778.9525160888006,24858.182301603676,146528.51560746264,528418.261474533,211389.68893466593,528418.261474533,569132.1987444243,119086116.72339922,124013864.60306925,114607669.15192848,133584027.12409633,107892252.97130734
81,21111067.748310484,1160.6106401882348,99.31702299731165,30.24379827189884,1.3163820525119132,0.13986360966244632,0.054086674993107174,18.363339156516936,8.022516761162203,0,18.410461338202357,8.023735851362275,0.054086674993107174,4450850.252166555,3799.176200299388,24916.601871334817,147165.71682406976,531360.258130941,211955.8928479902,531360.258130941,572074.3172298237,121244111.14980692,126251027.29790425,116692391.01440239,136012569.91023538,109839690.94706848
82,21371698.214339007,1161.0367598792434,100.02684731467792,30.285372017708696,1.3163820525119132,0.13986360966244632,0.054086674993107174,18.363339156516936,8.022516761162203,0,18.410461338202357,8.023735851362275,0.054086674993107174,4476282.044234673,3819.4436926173566,24975.098644928166,147803.43598279945,534307.7600568075,212523.132048062,534307.7600568075,575022.4900927276,123409389.32744966,128495363.968354,118784464.87718639,138449139.03210074,111793782.54143234
83,21632328.680367533,1161.4628795702517,100.73667163204419,30.32694576351855,1.3163820525119132,0.13986360966244632,0.054086674993107174,18.363339156516936,8.022516761162203,0,18.410461338202357,8.023735851362275,0.054086674993107174,4501852.985376594,3839.812922723957,25033.672666311846,148443.99500301958,537210.7450010763,213091.76548568462,537210.7450010763,577930.3462030848,125580113.21609591,130744871.93996987,120882196.67720266,140889940.81158355,113753904.26535006
84,21892959.146396056,1161.88899926126,101.44649594941045,30.368519509328408,1.3163820525119132,0.13986360966244632,0.054086674993107174,18.363339156516936,8.022516761162203,0,18.410461338202357,8.023735851362275,0.054086674993107174,4527490.085905984,3860.2237691927385,25092.32397941397,149084.9787562169,540121.102448688,213661.42328897803,540121.102448688,580845.9426666058,127757721.09868091,133001141.1517045,122986893.65918517,143338329.6409244,115720314.57189588
85,22153589.612424582,1162.3151189522687,102.15632026677672,30.410093255138264,1.3163820525119132,0.13986360966244632,0.054086674993107174,18.363339156516936,8.022516761162203,0,18.410461338202357,8.023735851362275,0.054086674993107174,4553193.398796068,3880.67623261896,25151.052628162666,149726.38724239144,543038.838249199,214232.10575188725,543038.838249199,583769.2823213015,129942011.87568632,135263963.1717605,125098361.84799245,145794077.0772884,117692833.94444177
86,22414220.078453105,1162.741238643277,102.86614458414299,30.45166700094812,1.3163820525119132,0.13986360966244632,0.054086674993107174,18.363339156516936,8.022516761162203,0,18.410461338202357,8.023735851362275,0.054086674993107174,4578962.977020065,3901.1703135978796,25208.18378416708,150368.22046154315,545963.9582521655,214791.15817922313,545963.9582521655,586695.7348936026,132132788.28847268,137532799.86406085,127216687.53008105,148256813.0852606,119671373.47239316
87,22674850.544481628,1163.1673583342856,103.57596890150924,30.493240746757976,1.3163820525119132,0.13986360966244632,0.054086674993107174,18.363339156516936,8.022516761162203,0,18.410461338202357,8.023735851362275,0.054086674993107174,4604798.8735512,3921.7060127247546,25263.81177225308,151010.47841367204,548896.468307144,215339.3057853095,548896.468307144,589625.601153948,134329856.8397011,139807458.6200279,129341677.94347358,150726322.38236,121655757.80731434
88,22935481.010510154,1163.593478025294,104.28579321887551,30.534814492567833,1.3163820525119132,0.13986360966244632,0.054086674993107174,18.363339156516936,8.022516761162203,0,18.410461338202357,8.023735851362275,0.054086674993107174,4630701.141362695,3942.2833305948425,25319.50602968503,151653.16109877813,551836.374263691,215888.41095414545,551836.374263691,592563.2370851253,136533027.7156454,142088052.4344836,131472893.45386592,153202525.29006425,123645736.33551294
89,23196111.476538677,1164.0195977163025,104.99561753624178,30.57638823837769,1.3163820525119132,0.13986360966244632,0.054086674993107174,18.363339156516936,8.022516761162203,0,18.410461338202357,8.023735851362275,0.054086674993107174,4656669.833427771,3962.902267803404,25375.266590884337,152296.2685168614,554783.681971363,216438.47398923198,554783.681971363,595508.6454489891,138742114.71034408,144374388.9300915,133610153.94981349,155685210.70872128,125641142.5804854
90,23456741.942567203,1164.445717407311,105.70544185360805,30.617961984187545,1.3163820525119132,0.13986360966244632,0.054086674993107174,18.363339156516936,8.022516761162203,0,18.410461338202357,8.023735851362275,0.054086674993107174,4682765.376472891,3983.6120939167454,25431.093490272393,152941.77250893696,557690.1421799194,216989.8058344268,557690.1421799194,598416.9704484666,140955420.25017485,146664622.37833384,135751891.8200537,158170700.6608336,127641507.09860067
91,23717372.408595726,1164.8718370983192,106.4152661709743,30.6595357299974,1.3163820525119132,0.13986360966244632,0.054086674993107174,18.363339156516936,8.022516761162203,0,18.410461338202357,8.023735851362275,0.054086674993107174,4708928.031422368,4004.36398253308,25486.986762270586,153587.7148594633,560603.5493948284,217542.10057393147,560603.5493948284,601332.6077273694,143174231.8497255,148960173.32322505,137899279.31078506,160662152.9785397,129646966.48932728
