,N,Sigma_um_X,Sigma_um_Y,sz_um,ex_um,ey_um,dp/p
0,6970484.826661183,1074.7556190936518,68.24022717950092,276333.8210909337,0.5332706931387987,0.004731778168639693,0.00025993147047534074
1,7446599.91477869,1083.8934374496419,68.82164013278715,278793.87464857346,0.5424854254255015,0.004812788940151636,0.00026174577669419395
2,8089467.842607397,1094.925283426098,69.54007016218557,281625.2138376153,0.5536738466933789,0.0049137931878142655,0.00026406995507558407
3,8735431.800750015,1105.4787584847415,70.4379639003375,284350.53033618437,0.5642394420639009,0.005041612245632119,0.0002671381085163222
4,9384630.128339315,1114.39192914203,71.31314726914984,286869.14,0.5734642487130488,0.005167631872523275,0.00026898653243964633
5,10059727.33622366,1121.9534194613273,72.37507655741915,289068.96060445183,0.5815005185182484,0.005322707066542614,0.0002700063156442252
6,10657942.744188545,1130.069962918183,73.60752675238545,290317.56946970586,0.5898862611346115,0.005505510256964459,0.00027218084373930007
7,11339058.51485042,1136.9101628556098,74.83393372360906,291746.94106991106,0.5972967598022558,0.005690484726578341,0.0002729203265135478
8,11979973.091605056,1143.0433409205202,76.03289062682722,293321.4306449049,0.6037757007662757,0.005874299562284472,0.0002743289264911061
9,12627964.978953667,1148.4657454938235,77.29582023170596,294656.39269020467,0.6095450404270424,0.006071047206798249,0.00027553325310409455
10,13268036.591320937,1152.7508013237461,78.66754376084884,296138.3682461441,0.6142216835600485,0.006288477303054512,0.00027612880935789645
11,13914682.946683398,1156.6782484936728,80.10345956376646,297359.68288968183,0.6183389712524957,0.006520177185425348,0.00027733737411106754
12,14566321.756858705,1159.0208656444515,81.66633500724244,297844.9517132649,0.6209604381828697,0.006777042570683001,0.00027748986010631523
13,15214160.158547077,1160.707418709975,83.22589050688211,298480.1137948109,0.6227901474060787,0.007038366406505111,0.0002778180702326775
14,15867021.01900334,1161.755423018006,84.71594590651945,298644.062829527,0.6238849591579564,0.007292627774319225,0.00027817636259901
15,16519093.462554667,1161.448687239507,86.29733174520791,298836.5853429368,0.6234383753500665,0.007567455457886718,0.00027852170621355286
16,17162657.080884423,1160.7869373360656,87.99815929897373,298906.7505670323,0.6227317263317901,0.007868802032926612,0.00027835119649539876
17,17818969.16610534,1159.7073013890906,89.88731662033271,298957.55745638907,0.6215279950734621,0.008210207575592673,0.0002782551615905139
18,18469384.370102763,1158.5180647819593,91.81899549644291,299096.5497010054,0.6202937312939163,0.008566904859919094,0.0002778280193440544
19,19123380.37833906,1157.3608561517788,93.90357747029066,299233.5054048461,0.6189295074271332,0.008960393657700627,0.0002780004037964332
20,19700208.09229461,1158.303944851198,95.47456164775681,300174.8580535296,0.6197000574847851,0.009262387396284958,0.0002790776966646528
