,N,sx,sy,sz,sx_err_stat,sy_err_stat,sz_err_stat,sx_err_sm,sy_err_sm,sz_err_sm,sx_err_tot,sy_err_tot,sz_err_tot,M,Mxder,Myder,Mzder,Meder,M_err_no_Ebeam,M_err_due_to_Ebeam,M_err_with_Ebeam,varN,varN_top_no_Ebeam,varN_bottom_no_Ebeam,varN_top_with_Ebeam,varN_bottom_with_Ebeam
85,22153589.612424582,544.1674046672517,322.4500532594963,28.85713049863835,2.02370910686093,0.6831758341120098,0.09119185892226393,5.1918764509721145,5.79525209406837,0,5.572340588240337,5.835381397485383,0.09119185892226393,4686230.06817778,8178.698418536979,12373.394860886152,162394.18082123253,489440.8610135927,86658.43281150995,489440.8610135927,497053.35770626675,126882022.8253856,128855163.50293422,124980532.37758675,139308239.94955164,116839041.36003378
86,22414220.078453105,544.9862861615102,323.2158983417631,28.923395692738953,2.02370910686093,0.6831758341120098,0.09119185892226393,5.1918764509721145,5.79525209406837,0,5.572340588240337,5.835381397485383,0.09119185892226393,4713215.770536611,8214.410839573697,12421.722686980183,162955.13226062304,492111.07342159713,87006.80443056826,492111.07342159713,499743.42677155416,129007528.38102022,131012267.72527319,127075463.15190901,141650142.551935,118788897.62911475
87,22674850.544481628,545.8051676557685,323.9817434240299,28.989660886839552,2.02370910686093,0.6831758341120098,0.09119185892226393,5.1918764509721145,5.79525209406837,0,5.572340588240337,5.835381397485383,0.09119185892226393,4740302.751503036,8250.180531000029,12470.145272119533,163517.01284146422,494790.73946406896,87355.82349674018,494790.73946406896,502442.94776441413,131138143.74902526,133174466.20093665,129175515.25120285,143997610.3868433,120743472.73350346
88,22935481.010510154,546.624049150027,324.74758850629667,29.055926080940154,2.02370910686093,0.6831758341120098,0.09119185892226393,5.1918764509721145,5.79525209406837,0,5.572340588240337,5.835381397485383,0.09119185892226393,4767491.195786271,8286.029564227216,12518.665855463802,164079.82256375602,497479.87538159516,87705.57044052127,497479.87538159516,505151.95089793,133273658.38321447,135341546.43676725,131280480.09327236,146350408.57976145,122702575.90944704
89,23196111.476538677,547.4429306442853,325.51343358856343,29.122191275040752,2.02370910686093,0.6831758341120098,0.09119185892226393,5.1918764509721145,5.79525209406837,0,5.572340588240337,5.835381397485383,0.09119185892226393,4794789.308543865,8321.97214601048,12567.284483067591,164643.8368342581,500179.56877584755,88056.0914587333,500179.56877584755,507871.5155073984,135413677.88206095,137513104.3494061,133389972.54609518,148708102.51728508,124665846.29184763
90,23456741.942567203,548.2618121385437,326.2792786708302,29.18845646914135,2.02370910686093,0.6831758341120098,0.09119185892226393,5.1918764509721145,5.79525209406837,0,5.572340588240337,5.835381397485383,0.09119185892226393,4822193.270717088,8358.00134940605,12616.001200985502,165208.91660767372,502889.3014048596,88407.36431535184,502889.3014048596,510601.1276257183,137558087.88019502,139689024.82128865,135503879.03510675,151070561.68705028,126633182.18394886
91,23717372.408595726,549.0806936328021,327.045123753097,29.254721663241952,2.02370910686093,0.6831758341120098,0.09119185892226393,5.1918764509721145,5.79525209406837,0,5.572340588240337,5.835381397485383,0.09119185892226393,4849699.338793506,8394.110417004358,12664.816055272146,165774.92668088066,505608.5648511135,88759.36730888065,505608.5648511135,513340.28298573586,139706780.1371083,141869199.00946897,137622091.96672976,153437662.34045276,128604487.48484017
92,23978002.874624252,549.8995751270605,327.8109688353638,29.32098685734255,2.02370910686093,0.6831758341120098,0.09119185892226393,5.1918764509721145,5.79525209406837,0,5.572340588240337,5.835381397485383,0.09119185892226393,4877307.697712609,8430.299364110419,12713.708951757537,166341.86705387902,508337.37538869213,89112.0028642572,508337.37538869213,516088.9809631121,141859559.1531281,144053425.5383377,139744421.4454726,155809185.66932863,130579585.53378426
93,24238633.340652775,550.7184566213189,328.57681391763055,29.387252051443152,2.02370910686093,0.6831758341120098,0.09119185892226393,5.1918764509721145,5.79525209406837,0,5.572340588240337,5.835381397485383,0.09119185892226393,4905023.066636369,8466.56820602925,12762.68332236074,166909.89201882496,511076.31015357387,89465.29012529248,511076.31015357387,518847.793613305,144016122.30269584,146241394.70057622,141870571.64064237,158184795.92016968,132558200.92629395
94,24499263.8066813,551.5373381155773,329.34265899989737,29.45351724554375,2.02370910686093,0.6831758341120098,0.09119185892226393,5.1918764509721145,5.79525209406837,0,5.572340588240337,5.835381397485383,0.09119185892226393,4932841.773232101,8502.916958065865,12811.757479807296,167478.8695729855,513824.9084573239,89819.31606135322,513824.9084573239,521616.2824231109,146176372.9988725,148433012.28242224,144000443.83828032,160564384.1048706,134540246.9703632
95,24759894.272709824,552.3562196098356,330.10850408216413,29.519782439644352,2.02370910686093,0.6831758341120098,0.09119185892226393,5.1918764509721145,5.79525209406837,0,5.572340588240337,5.835381397485383,0.09119185892226393,4960765.068735444,8539.348534449155,12860.929661886068,168048.83568766608,516583.3398508893,90174.08123880022,516583.3398508893,524394.6147118228,148340099.32201743,150628062.21568498,146133830.12756857,162947714.86820436,136525530.96799064
96,25020524.73873835,553.1751011040941,330.8743491644309,29.58604763374495,2.02370910686093,0.6831758341120098,0.09119185892226393,5.1918764509721145,5.79525209406837,0,5.572340588240337,5.835381397485383,0.09119185892226393,4988801.77249056,8575.877665586426,12910.199913726865,168620.0818118228,519352.79759269935,90529.63372843536,519352.79759269935,527183.9744817439,150506901.37809044,152826134.6491802,148270340.14462575,165334349.57626888,138513685.69286892
97,25281155.204766873,553.9939825983524,331.64019424669766,29.65231282784555,2.02370910686093,0.6831758341120098,0.09119185892226393,5.1918764509721145,5.79525209406837,0,5.572340588240337,5.835381397485383,0.09119185892226393,5016941.825743408,8612.486843360277,12959.568280459484,169192.2601407387,522131.9020510676,90885.91689263146,522131.9020510676,529982.9931506105,152676853.7572021,155027309.18957183,150410043.7834695,167724362.80562305,140504784.3966524
98,25541785.6707954,554.8128640926109,332.4060393289645,29.71857802194615,2.02370910686093,0.6831758341120098,0.09119185892226393,5.1918764509721145,5.79525209406837,0,5.572340588240337,5.835381397485383,0.09119185892226393,5045185.413812175,8649.17608306732,13009.034807213748,169765.3706744138,524920.6695536473,91242.93099683775,524920.6695536473,532791.6870424529,154849781.65976828,157231408.13126826,152552769.07372004,170117559.58489245,142498668.68720195
