,N,"96.400000000038,0,0","95.400000000038,0,0","97.400000000038,0,0","96.400000000038,-0.008,0","96.400000000038,0.008,0","96.400000000038,0,-0.008","96.400000000038,0,0.008"
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7000000.0,25008099.69887786,27070995.78085829,23046041.24735455,25726456.195187926,24360838.748843417,26040202.4638625,24114119.230034504
2,14750000.0,72929406.04104322,79591890.65441024,66609480.69791992,74870027.90821353,71145584.77386355,75613314.2427311,70539607.05766866
3,22500000.0,132311514.50711907,144902798.4148392,120386909.8036009,135594948.2390365,129279674.79411668,136738810.73695394,128302136.5377901
