,0.06,0.06857142857142857,0.07714285714285714,0.08571428571428573,0.09428571428571428,0.10285714285714287,0.11142857142857143,0.12
6693879.389122463,2505315.7085498767,2794729.20106952,3087646.9555769037,3384161.3203574303,3684492.7987406026,3988611.456674649,4296701.9864108665,4608397.192483502
6868606.838842592,2516895.55566677,2807448.1593653047,3101528.897732522,3399212.2127808393,3700708.8138387906,4006001.747025963,4315330.800004948,4628206.513684676
7057311.54826781,2529421.5943417866,2821207.6405809475,3116528.4867954995,3415473.7941630916,3718239.0231803176,4024856.0536426874,4335460.256988342,4649663.984364904
7249982.525209272,2542227.905686157,2835276.002875422,3131860.9275720604,3432094.149082085,3736178.3509689174,,4356031.030773583,4671576.183667329
7445826.651855403,2555258.7159777964,2849558.6130587813,3147449.0718148435,3448994.1040263465,3754402.3966588047,4063674.0286802696,4376910.296557178,4693855.164030577
7662788.473115058,2568467.3595204754,2863959.4874210777,3163040.780387995,3465788.0137897846,3772428.627771887,4082941.54345456,4397407.003577397,4715618.951319875
7870760.721232347,2581162.815955452,2877793.316934289,3178012.755738123,3481944.6949148206,3789734.9013009747,,4417105.997836834,4736530.836015939
8847174.911496703,2634233.8358377614,2936007.8384145284,3241332.3994930116,3550467.0102210217,3863545.8897336745,4180522.7254612586,4501556.036290295,4826316.357219445
9094929.243446115,2648006.928214248,2951134.3300931077,3257830.5749363513,3568364.368596792,3882847.9505342026,,4523724.363690855,4849895.387922018
9377716.79000426,2663750.850389347,2968419.0111894305,3276677.0688497657,3588831.1884256536,3904911.350203381,4224889.1900045825,4549021.021985132,4876841.250764402
10172488.004583193,2690781.0980480434,2997936.072995875,3308702.4565521968,3623358.8288097475,3942026.7056524726,4264548.638721424,4591259.72315938,4921743.130686728
10475276.16408098,2698260.6122546857,3006140.729603131,3317601.0834441436,3632975.949599362,3952376.2349355924,,4603051.013994427,4934308.77637806
10981150.314656716,2717596.4977277275,3027298.974631354,3340624.4631754896,3657855.407423203,3979159.4128932925,4304302.706378889,4633646.365715078,4966846.671241493
11876958.564459834,2762507.0994068305,3076529.933174737,3394145.1389969313,3715723.6749835615,4041405.2073450186,4370985.675250573,4704809.931255797,5042549.384814097
12692587.284874927,2803486.309915325,3121273.2259033336,3442734.321825988,3768126.9606980113,4097638.7959542647,4431182.715040196,4768994.921884458,5110727.585853104
13075683.541618135,2819687.795854648,3139007.2264861725,3461994.1150537254,3788967.6254218044,4120002.1957529034,4455120.120198762,4794522.179825098,5137853.368816648
13503913.561661165,2834474.7792626726,3155195.425392636,3479605.218998463,3808039.8839881285,4140495.304173703,4477057.450855277,4817953.149725932,5162718.606230503
13942637.975467674,2846476.0481127156,3168353.3235255643,3493935.0852503027,3823570.5259460905,4157206.269407952,4494947.518523992,4837067.747755387,5183025.053568957
14465676.443849346,2868615.0315924054,3192574.334856164,3520324.974424508,3852080.6172769633,4187910.975008236,4527821.716005083,4872152.82133606,5220335.105366454
14906365.33380934,2879928.829431925,3204890.7658400335,3533640.683016449,3866375.4158150903,4203220.520201996,4544157.917107681,4889481.50078229,5238720.778157739
15425711.971077487,2891776.9170067376,3217837.355024656,3547678.861868953,3881514.830499891,4219497.188599758,4561547.283136522,4908022.494445942,5258420.446593112
15460221.755068908,2892698.20178743,3218857.7885815394,3548799.001307763,3882729.335358825,4220814.821430409,4562964.002746021,4909538.131153304,5260039.150706243
15899993.70856838,2905214.302257791,3232660.8628437845,3563899.5566040585,3899158.414071091,4238544.241905193,4582019.667530858,4929968.838533446,5281834.049757828
15995965.034519553,2909740.3623513496,3237605.7015849156,3569275.9181576753,3904951.707078827,4244764.280513685,4588662.574089688,4937054.549375287,5289379.129596202
16484485.5774096,2932836.82056865,3262865.094083599,3596648.067448055,3934493.7208683435,4276529.068082355,4622632.48742735,4973221.244794415,5327840.4735619
16705441.82220704,2942209.654343617,3272972.3393349536,3607486.8692572713,3946071.368338788,4288846.055802811,4635695.798444181,4987031.071663657,5342357.13716418
17032618.863254648,2955845.6678542607,3287641.7697020643,3623152.196608936,3962732.449197982,4306527.709879704,4654396.388937481,5006726.092208939,5363070.109715344
17129977.63653232,2959906.107035517,3292011.121250222,3627844.2649106374,3967698.5721029146,4311781.495633441,4659981.085987346,5012599.437538305,5369255.940770702
17251034.959988315,2963721.9168382217,3296228.8015718856,3632465.155053045,3972732.726216262,4317231.636363189,4665845.204886975,5018886.497798834,5375972.9886707105
17595225.022629727,2973092.7477749665,3306767.6837430806,3644193.126286808,3985673.025235165,4331407.715099098,4681252.853052545,5035549.379589853,5393909.614073217
17740739.41269975,2977058.757198694,3311232.047906244,3649138.2391489237,3991145.9392103385,4337402.621248176,4687759.321230813,5042607.519231843,5401503.808451689
17938869.60475744,2983791.591845324,3318621.050201362,3657214.2796802353,3999877.0740391617,4346793.476601778,4697849.81060072,5053366.202395927,5412963.359067002
18195174.20806736,2993557.267328825,3329207.879377461,3668652.7557540103,4012136.4358872846,4359915.474873933,4711806.585345839,5068204.310657507,5428679.472662456
18486443.16246344,3005145.551456928,3341801.9863985563,3682213.433867676,4026667.6828340804,4375451.327841003,4728347.640106703,5085749.65345748,5447268.510476437
18572888.93317545,3010050.531208962,3347098.2533063516,3687878.868532605,4032726.528803707,4381918.137914371,4735210.423641004,5092991.856845527,5454880.502959765
18652163.399124093,3014554.004089037,3351952.55859523,3693088.3841099315,4038294.8066667398,4387836.035928578,4741488.220890982,5099618.192473416,5461906.883965946
