,N,"96.400000000038,1.0,Middle","95.400000000038,1.0,Middle","97.400000000038,1.0,Middle"
0,0.0,0.0,0.0,0.0
1,7000000.0,25008099.69887786,27070995.78085829,23046041.24735455
2,14750000.0,72929406.04104322,79591890.65441024,66609480.69791992
3,22500000.0,132311514.50711907,144902798.4148392,120386909.8036009
