,I (mA),Beam life time (Sec),e
0,3.0056193736697923,645.178071323304,0.11171875
1,2.7918799042944515,665.2394524698506,0.11015625000000001
2,2.6998111746641733,674.9206962690927,0.10859375
3,2.601302304081167,669.5548324250738,0.10546875
4,2.500741210721616,686.954976098115,0.10546875
5,2.400400901818558,692.1598291985653,0.10234375
6,2.3006795672530544,709.7195591294893,0.10234375
7,2.200698950074562,718.3988703391832,0.10078125
8,2.0994799397680883,735.4032558828565,0.09921875
9,1.9993879715673355,748.4852609868927,0.09765625
10,1.8999981330693632,760.4282166560597,0.09609374999999999
11,1.7995143812407657,783.7612828792786,0.09453125
12,1.6984626783131551,781.3505334011534,0.08984374999999999
13,1.59912444008008,811.0564045737327,0.08984374999999999
14,1.5005263961103648,828.6113969278657,0.08828124999999999
15,1.4002878410156034,846.7411341316986,0.08515625
16,1.2968948516297691,866.2225349537387,0.08203125
17,1.196459566420252,929.3462644980091,0.08203125
18,1.0985793727398472,959.0982730225084,0.08046874999999999
19,0.9983512481546344,991.7549681800107,0.07734374999999999
20,0.9180993968645136,1018.5136490788776,0.07421875
