,t,var_ch1
0,0.0,8.068879e-08
1,1.6662238957782192,7.7559335e-08
2,3.3324477915564383,8.0741046e-08
3,4.9986716873346575,8.020253e-08
4,6.664895583112877,8.304306e-08
5,8.331119478891097,8.0723666e-08
6,9.997343374669315,8.170365e-08
7,11.663567270447533,8.134995e-08
8,13.329791166225753,8.127791e-08
9,14.996015062003973,7.931733e-08
10,16.662238957782193,8.1237765e-08
11,18.32846285356041,8.2069576e-08
12,19.99468674933863,8.1333894e-08
13,21.66091064511685,8.058217e-08
14,23.327134540895067,8.071638e-08
15,24.993358436673287,8.159313e-08
16,26.659582332451507,8.1341085e-08
17,28.325806228229727,8.097711e-08
18,29.992030124007947,8.118452e-08
19,31.658254019786163,8.008926e-08
20,33.32447791556439,8.1847006e-08
21,34.9907018113426,8.083395e-08
22,36.65692570712082,8.199325e-08
23,38.32314960289904,8.1740204e-08
24,39.98937349867726,7.975791e-08
25,41.65559739445548,8.1517584e-08
26,43.3218212902337,8.11605e-08
27,44.98804518601192,8.044555e-08
28,46.65426908179013,7.9800145e-08
29,48.32049297756836,8.094765e-08
30,49.98671687334657,8.1247606e-08
31,51.6529407691248,8.274827e-08
32,53.31916466490301,7.928472e-08
33,54.98538856068123,8.167306e-08
34,56.65161245645945,8.1846935e-08
35,58.31783635223767,8.228264e-08
36,59.98406024801589,8.063996e-08
37,61.65028414379411,7.923272e-08
38,63.31650803957233,7.998375e-08
39,64.98273193535054,7.988619e-08
40,66.64895583112877,8.1249965e-08
41,68.31517972690699,7.9521385e-08
42,69.9814036226852,7.942093e-08
43,71.64762751846342,8.130089e-08
44,73.31385141424164,8.23909e-08
45,74.98007531001986,8.039112e-08
46,76.64629920579809,7.9986584e-08
47,78.3125231015763,8.1004345e-08
48,79.97874699735452,8.210908e-08
49,81.64497089313274,8.097219e-08
50,83.31119478891095,8.0458385e-08
51,84.97741868468918,8.027087e-08
52,86.6436425804674,8.0658246e-08
53,88.30986647624562,8.2853354e-08
54,89.97609037202383,8.2258794e-08
55,91.64231426780205,8.084914e-08
56,93.30853816358027,8.003216e-08
57,94.9747620593585,8.028182e-08
58,96.64098595513671,8.038088e-08
59,98.30720985091493,8.142285e-08
60,99.97343374669315,8.1257e-08
61,101.63965764247136,8.226007e-08
62,103.3058815382496,8.1026506e-08
63,104.97210543402781,8.1480074e-08
64,106.63832932980603,8.1622225e-08
65,108.30455322558424,8.21781e-08
66,109.97077712136246,8.061064e-08
67,111.63700101714069,8.016433e-08
68,113.3032249129189,8.221775e-08
69,114.96944880869712,8.252203e-08
70,116.63567270447534,8.14679e-08
71,118.30189660025356,8.0645044e-08
72,119.96812049603179,8.217723e-08
73,121.63434439181,8.102835e-08
74,123.30056828758822,8.132235e-08
75,124.96679218336644,8.046505e-08
76,126.63301607914465,8.1497525e-08
77,128.29923997492287,8.070722e-08
78,129.9654638707011,8.1787036e-08
79,131.6316877664793,8.172167e-08
80,133.29791166225755,8.106866e-08
81,134.96413555803576,8.0896086e-08
82,136.63035945381398,8.199178e-08
83,138.2965833495922,8.131537e-08
84,139.9628072453704,8.068471e-08
85,141.62903114114863,8.138723e-08
86,143.29525503692685,8.1777664e-08
87,144.96147893270506,8.124021e-08
88,146.62770282848328,7.9742115e-08
89,148.2939267242615,8.084868e-08
90,149.9601506200397,7.990713e-08
91,151.62637451581796,8.131212e-08
92,153.29259841159617,8.0635985e-08
93,154.9588223073744,7.9947164e-08
94,156.6250462031526,8.123184e-08
95,158.29127009893082,8.160429e-08
96,159.95749399470904,8.047849e-08
97,161.62371789048726,8.01325e-08
98,163.28994178626547,8.092505e-08
99,164.9561656820437,8.099731e-08
