"variance(mean), created by Plot Digitizer, 2.6.8"
"Date: 1/24/19, 9:13:37 AM"


17
mean,variance
3.60597e+06,152602576,
3.85700e+06,216903312,
4.13575e+06,231004208,
4.42085e+06,273141184,
4755952,287674336,
5110384,375030400,
5482175,444063040,
5.84983e+06,512760544,
6359459,641105920,
7.57656e+06,982865408,
8244318,1191757696,
8796753,1428921600,
9270609,1600064000,
9753126,1720687616,
10177833,1970179072,
10727060,2066201600,
11683673,2389342720,
