wavelength_um,transmission
0.239877252,0.913696893
0.344137181,0.923519998
0.501563888,0.925482382
0.715318145,0.923934838
0.77862699,0.923982919
0.81315403,0.923133112
0.948377213,0.922345922
1.088772818,0.922424193
1.178917564,0.922032089
1.236467166,0.919873093
1.271500611,0.914788225
1.288328705,0.903865589
1.296826088,0.887838517
1.301095774,0.873995599
1.309677364,0.860883217
1.324831569,0.855789031
1.337960373,0.861624004
1.34236549,0.874013303
1.349000374,0.885674862
1.360131469,0.899524302
1.371354412,0.91264507
1.414852675,0.917763483
1.55380229,0.919273942
1.695216765,0.919323328
1.849501638,0.917915368
1.978422472,0.912852863
2.034478108,0.891008523
2.06140408,0.864055087
2.085256473,0.836372046
2.105920929,0.802858693
