#    N     S[cm]       BetaX       AlfaX       BetaY       AlfaY        DspX       DspXp        DspY       DspYp
0   0.0   57.3265995750224   0.018442584505617848   131.0056599668103   0.15545344029924876   -19.256288777096145   0.0030679315300545795   0   0
0   4.000823795297746   57.458361083675015   -0.05137438539347694   129.88691460743217   0.12417611386626302   -19.24401452362836   0.0030679315300581205   0   0
0   8.001647590595493   58.14877335761803   -0.12119135529257172   129.018439381136   0.0928987874332773   -19.23174027016057   0.003067931530058109   0   0
0   12.002471385893239   59.39783639685144   -0.19100832519166644   128.40023428792176   0.061621461000291616   -19.219466016692785   0.003067931530058097   0   0
0   16.003295181190985   61.205625871880585   -0.2608252950907611   128.03233322744308   0.030344134567305902   -19.20719176322501   0.0030679315300455564   0   0
0   20.004118976488733   63.572132734279435   -0.33064226498985566   127.91473214609266   -0.0009331918656797788   -19.194917509757243   0.0030679315300493016   0   0
0   24.004942771786478   66.49727799520745   -0.4004592348889502   128.04739565763492   -0.03221051829866556   -19.182643256289477   0.0030679315300493016   0   0
0   28.005766567084223   69.98106165466463   -0.4702762047880447   128.43032376206986   -0.06348784473165137   -19.17036900282171   0.0030679315300493016   0   0
0   32.00659036238197   74.02348371265101   -0.5400931746871396   129.0635164593975   -0.09476517116463727   -19.158094749353946   0.0030679315300493164   0   0
0   36.00741415767972   78.6245441691666   -0.6099101445862352   129.9469737496178   -0.12604249759762334   -19.14582049588618   0.0030679315300493237   0   0
0   40.00823795297747   83.78424302421138   -0.6797271144853307   131.08069563273077   -0.15731982403060946   -19.133546242418415   0.0030679315300493237   0   0
0   44.00906174827521   89.50258027778531   -0.7495440843844262   132.46468210873644   -0.18859715046359546   -19.12127198895065   0.0030679315300493237   0   0
0   48.009885543572956   95.77955592988843   -0.8193610542835217   134.0989331776348   -0.21987447689658135   -19.108997735482884   0.0030679315300493237   0   0
0   52.010709338870704   102.61516998052076   -0.8891780241826173   135.9834488394258   -0.25115180332956716   -19.09672348201512   0.0030679315300493237   0   0
0   56.011533134168445   110.00942242968223   -0.9589949940817127   138.11822909410947   -0.28242912976255286   -19.084449228547353   0.0030679315300493237   0   0
0   60.01235692946619   117.96231327737293   -1.0288119639808084   140.50327394168582   -0.31370645619553866   -19.072174975079587   0.0030679315300493237   0   0
0   64.01318072476394   126.47384252359267   -1.098628933879903   143.13858338215485   -0.3449837826285244   -19.05990072161182   0.003067931530049281   0   0
0   68.01400452006169   135.54401016834146   -1.1684459037789963   146.02415741551653   -0.3762611090615098   -19.047626468144056   0.00306793153004916   0   0
0   72.01482831535944   145.1728351038739   -1.2382628736780914   149.160004505318   -0.4075384354944955   -19.035352214676276   0.0030679315300545795   0   0
0   76.01565211065719   155.36030319987273   -1.3080798435771868   152.5461183213139   -0.43881576192748134   -19.02307796120849   0.0030679315300545795   0   0
0   80.01647590595493   166.10642206116196   -1.3778968134762821   156.18250227039175   -0.4700930883604672   -19.010803707740706   0.0030679315300545795   0   0
0   84.01729970125267   177.41119168774156   -1.4477137833753773   160.06915635255157   -0.5013704147934529   -18.99852945427292   0.0030679315300545795   0   0
0   88.01812349655042   189.2746120796116   -1.5175307532744728   164.20608056779335   -0.5326477412264388   -18.986255200805132   0.0030679315300545795   0   0
0   92.01894729184816   201.8113549222934   -1.7228339353638533   168.49733131050542   -0.4508584923292527   -18.979387801041007   -0.009657926583770056   0   0
0   96.01977108714591   218.87211519284602   -2.5613033773691343   169.84419026347777   0.11578212358335815   -19.15074076461567   -0.07609950986125456   0   0
0   100.02059488244366   243.18315258955252   -3.5434548507502472   166.66164005722644   0.675987905475391   -19.589734705320154   -0.14360464324768846   0   0
0   104.02141867774141   276.10824897794697   -4.724384350270841   159.12655881518353   1.198623933992734   -20.302504770210405   -0.21311674450303336   0   0
0   108.02224247303916   319.49441116995854   -6.170338766811942   147.65772809057782   1.6546433243778766   -21.299012260936596   -0.2856072800576367   0   0
0   112.02306626833689   375.7754828781927   -7.962432154773375   132.8925580065609   2.018701583931444   -22.593183847661745   -0.36186065607507506   0   0
0   116.02389006363464   442.83282303043   -8.734202754303132   117.1648306346168   1.8891982038773125   -24.058621739631484   -0.3665637040861327   0   0
0   120.02471385893239   515.5144811323867   -9.432472112898466   102.6723517520538   1.73317510287491   -25.525178529431766   -0.3665637040861263   0   0
0   124.02553765423013   593.7834443282468   -10.130741471493804   89.42831468677313   1.5771520018725076   -26.99173531923205   -0.3665637040861263   0   0
0   128.02636144952788   673.0709869501391   -8.802248746869633   77.98396789370236   1.1878685029479752   -28.36181099185043   -0.282435526339329   0   0
0   132.02718524482563   730.2563052377858   -5.3903669031116035   70.50170852736235   0.6954565278722181   -29.188838777781335   -0.13027282856524175   0   0
0   136.02800904012338   758.1253121590665   -1.526333874950261   66.69700436815953   0.2622074891754672   -29.400525005677235   0.024636128408216464   0   0
0   140.02883283542113   754.3403154733111   2.4657307929594343   66.24618655700604   -0.14873532739696543   -28.992406996821956   0.17902564670420348   0   0
0   144.02965663071888   719.2187973536576   6.250968032844883   69.11090298208195   -0.5723310264639972   -27.973088411516084   0.32964098050999846   0   0
0   148.03048042601662   657.1936003482407   8.404871336598232   75.36689175950518   -0.9169633083545125   -26.394068115183114   0.4282803501485148   0   0
0   152.03130422131437   591.6824391924323   7.968730089873414   83.09434178610763   -1.0146843747700671   -24.68059389925048   0.42828035014851196   0   0
0   156.03212801661212   529.6633736911803   7.5325888431485994   91.60422482942438   -1.1124054411856228   -22.967119683317843   0.42828035014852617   0   0
0   160.03295181190987   471.1352156591552   7.096447596423778   100.89627466667045   -1.2101265076011811   -21.253645467385166   0.42828035014852617   0   0
0   164.0337756072076   416.0969060351848   6.66030634969896   110.97025400639913   -1.307847574016739   -19.540171251452506   0.42828035014852617   0   0
0   168.03459940250534   364.5484448192683   6.2241651029741405   121.82616284861052   -1.4055686404322976   -17.826697035519825   0.42828035014852617   0   0
0   172.03542319780308   316.489832011406   5.788023856249319   133.46400119330457   -1.5032897068478561   -16.11322281958715   0.4282803501485241   0   0
0   176.03624699310083   271.92106761159806   5.351882609524498   145.8837690404813   -1.6010107732634147   -14.399748603654492   0.4282803501485231   0   0
0   180.03707078839858   230.84215161984432   4.915741362799678   159.08546639014068   -1.698731839678973   -12.68627438772183   0.4282803501485211   0   0
0   184.03789458369633   193.25308403614488   4.479600116074856   173.06909324228272   -1.7964529060945316   -10.97280017178917   0.4282803501485211   0   0
0   188.03871837899408   159.1538648604997   4.043458869350035   187.83464959690744   -1.8941739725100901   -9.259325955856509   0.42828035014852317   0   0
0   192.03954217429182   128.54449409290882   3.6073176226252137   203.38213545401481   -1.9918950389256487   -7.545851739923846   0.42828035014852467   0   0
0   196.04036596958957   101.42497173337205   3.1711763759003877   219.71155081360462   -2.0896161053412046   -5.832377523991173   0.4282803501485241   0   0
0   200.04118976488732   77.79529778188947   2.7350351291755577   236.82289567567665   -2.1873371717567562   -4.118903308058505   0.4282803501485239   0   0
0   204.04201356018507   57.65543530282921   2.2988938824507312   254.71616176449615   -2.2850582381723066   -2.405429092125841   0.4282803501485195   0   0
0   208.04283735548282   41.007860963306825   1.8627526357259188   273.3919039978879   -2.3827793045878622   -0.691954876193206   0.4282803501485164   0   0
0   212.04366115078057   27.849204361342448   1.426611389001106   292.8493672093128   -2.4805003710034184   1.0215193397394295   0.42828035014851634   0   0
0   216.0444849460783   18.179465496936068   0.9904701422762936   313.0885513987708   -2.578221437418974   2.7349935556720646   0.4282803501485161   0   0
0   220.04530874137606   12.010466353425466   0.5414852709994181   333.796194542543   -2.31497799986369   4.450462721016666   0.4329130420631593   0   0
0   224.04613253667378   9.614745975857884   0.06165110066335701   345.1537709517654   -0.5032269663771638   6.237224450411282   0.46188975969213875   0   0
0   228.04695633197153   11.00946939865272   -0.4127842978424755   341.73337283790573   1.3519568088297051   8.159789850167156   0.5009232760862462   0   0
0   232.04778012726928   16.31676614402197   -0.9233655914340421   323.8301982155497   3.090458069814651   10.260019155367715   0.550863477554406   0   0
0   236.04860392256703   26.001376147804848   -1.514802600159061   292.98940955044975   4.5622320058098165   12.583640894096371   0.6127977234170016   0   0
0   240.04942771786477   40.911345273941194   -2.2388853792635364   251.87277603362318   5.64025416501995   15.181247539635425   0.6875565823866836   0   0
0   244.05025151316252   61.27903279446899   -2.8425891784656607   208.35484913252537   5.176091333175639   17.949612292296152   0.6922074188840156   0   0
0   248.05107530846027   86.39662647391191   -3.4355193650214213   169.07273955806195   4.642411167737667   20.719012205048934   0.6922074188840156   0   0
0   252.05189910375802   116.25863835084881   -4.028449551577181   134.0609504124732   4.108731002299696   23.488412117801715   0.6922074188840156   0   0
0   256.05272289905577   150.35565238456152   -4.2342209661693655   103.68688687857447   3.3102367547736584   26.213388718301204   0.6259778223738736   0   0
0   260.0535466943535   180.83148928614082   -3.3029180431399556   81.80921451821057   2.2154138446078484   28.292372561876267   0.410582122350407   0   0
0   264.05437048965126   202.10894137599882   -1.9593162431139917   67.48279398852893   1.4030141161420022   29.481435595272995   0.18227192821152988   0   0
0   268.055194284949   211.5319704839623   -0.3711350303426175   58.88127861003297   0.7694721266682715   29.743176335651775   -0.051771382725283144   0   0
0   272.05601808024676   207.92430589550148   1.263375541891911   54.90813755283517   0.23402340519921894   29.069361706420633   -0.28418610574012193   0   0
0   276.0568418755445   191.7941047369089   2.6248846993747392   55.04018063846409   -0.23825099233560945   27.485350378651063   -0.4910233791759355   0   0
0   280.05766567084225   171.44873124889102   2.460295965016939   57.25369598695545   -0.31506775849710345   25.520852359196457   -0.4910233791759355   0   0
0   284.05848946614   152.42002832626844   2.2957072306591413   60.0817271182451   -0.39188452465859624   23.55635433974188   -0.4910233791759355   0   0
0   288.05931326143775   134.7079959690406   2.1311184963013408   63.524274032333146   -0.46870129082009027   21.591856320287274   -0.4910233791759355   0   0
0   292.06013705673547   118.31508939608389   1.9665297619435427   67.58248262766139   -0.5455180569815832   19.627358300832697   -0.4910233791759398   0   0
0   296.06096085203325   103.23811463039577   1.8019410275857393   72.25486221299029   -0.6223348231430776   17.662860281378062   -0.4910233791759424   0   0
0   300.06178464733097   89.47812085858445   1.6373522932279387   77.5419024641325   -0.6991515893045712   15.698362261923462   -0.49102337917593797   0   0
0   304.06260844262874   77.03571823150902   1.4727635588701373   83.44388815037118   -0.7759683554660649   13.733864242468865   -0.4910233791759271   0   0
0   308.06343223792646   65.91034346868236   1.3081748245123401   89.96055637773809   -0.852785121627557   11.769366223014314   -0.49102337917592537   0   0
0   312.06425603322424   56.03985311161492   1.1695904557953147   97.30489494474004   -0.9839229335225355   9.830793707097493   -0.4683054958029179   0   0
0   316.06507982852196   47.19317958137519   1.0391589352385626   105.59596878285163   -1.0890863439858667   8.039346403800794   -0.4269768095716204   0   0
0   320.06590362381974   39.44583209804368   0.8950807848245704   114.74419095619496   -1.1982568565611356   6.416077066786164   -0.38424518079571507   0   0
0   324.06672741911746   32.89953150901712   0.7392475601327668   124.78321311160734   -1.3118360656239545   4.966318948162031   -0.34025099997114827   0   0
0   328.0675512144152   27.64023386834091   0.5737051443215562   135.74996307519908   -1.4302417793061557   3.6948353914722367   -0.2951388043050471   0   0
0   332.06837500971295   23.73700840737892   0.4006268745252858   147.6847851197337   -1.5539095811360897   2.6058050133858   -0.24905680305859745   0   0
0   336.06919880501067   21.24297911578931   0.22228129339904384   160.63294640744041   -1.6833023713328439   1.7030503171575135   -0.20215639083425463   0   0
0   340.07002260030845   20.189105909280535   0.04101976979408717   174.64082946122457   -1.8188893496911647   0.9893000378290832   -0.15459165040496436   0   0
0   344.07084639560617   20.589202932687286   -0.14077781842518874   189.759968409074   -1.961169318235041   0.46689848972262277   -0.10651884671743905   0   0
0   348.07167019090394   22.437998593272162   -0.3207245836887194   206.04598460836817   -2.1106656965521355   0.1375614736783968   -0.05809591373044124   0   0
0   352.07249398620166   25.71120493824183   -0.49645795578487584   223.558791182519   -2.2679284465313714   0.002370643920580199   -0.00948193577259105   0   0
0   356.07331778149944   30.427890571434137   -0.6856789389204702   242.8694629661439   -2.492641921308489   -0.001697760916053768   -2.5677772516830812e-06   0   0
0   360.07414157679716   36.68763906012531   -0.8790015038380322   263.28994594039426   -2.6114679362636743   -0.001708034140383324   -2.5677772516826573e-06   0   0
0   364.07496537209494   44.4939618567291   -1.0723240687555973   284.6610332164224   -2.7302939512188615   -0.0017183073647128804   -2.567777251682978e-06   0   0
0   368.07578916739266   53.84726010287795   -1.2656466336731576   306.9829713565559   -2.8491199661740465   -0.001728580589042436   -2.5677772516821978e-06   0   0
0   372.07661296269043   64.74795408220128   -1.4589691985907183   330.25601868878084   -2.967945981129233   -0.0017388538133719918   -2.5677772516821986e-06   0   0
0   376.07743675798815   77.19554703172032   -1.6522917635082772   354.47986987696015   -3.0867719960844173   -0.0017491270377015472   -2.567777251682199e-06   0   0
0   380.07826055328593   91.18916692105432   -1.8456143284258344   379.6539889262653   -3.205598011039601   -0.0017594002620311027   -2.567777251682266e-06   0   0
